이미지 주소,브랜드,상품명,판매가격,원가,할인율,리뷰수,별점,상품 상세 이미지,중분류,소분류
https://cdn.chicor.com/images/product/20230901114511649.png?d=600x0,시코르메이크업,★리필증정★글로우 인핸싱 쿠션(본품+리필),38000,38000,0,64,99,"['https://cdn.chicor.com/images/editor/20230216165142158.jpg', 'https://cdn.chicor.com/images/editor/20230216165147741.jpg', 'https://cdn.chicor.com/images/editor/20230217132242898.gif', 'https://cdn.chicor.com/images/editor/20230217132254874.gif', 'https://cdn.chicor.com/images/editor/20230217132319119.jpg']",베이스메이크업,쿠션
https://cdn.chicor.com/images/product/20220609183529399.png?d=600x0,아멜리,톤업 베이스 데일리 쿠션 [리필],11700,13000,10,13,94,['https://cdn.chicor.com/images/editor/20220609183300432.jpg'],베이스메이크업,쿠션
https://cdn.chicor.com/images/product/20220412143307175.jpg?d=600x0,맥,스튜디오 퍼펙트 쿠션 SPF50/PA++,49300,58000,15,15,100,['https://cdn.chicor.com/images/editor/20210902151503082.jpg'],베이스메이크업,쿠션
https://cdn.chicor.com/images/product/20221118133738939.jpg?d=600x0,헤라메이크업,헤라 스킨 래디언트 글로우 쿠션 리필 15G,32400,36000,10,6,90,"['https://cdn.chicor.com/images/editor/20221026141801274.jpg', 'https://cdn.chicor.com/images/editor/20221026141820921.jpg']",베이스메이크업,쿠션
https://cdn.chicor.com/images/product/20230912172743697.jpg?d=600x0,랑콤,뗑 이돌 울트라 웨어 메쉬쿠션,80100,89000,10,5,100,['https://cdn.chicor.com/images/editor/20230131170400644.jpg'],베이스메이크업,쿠션
https://cdn.chicor.com/images/product/20210915154935327.jpg?d=600x0,블랑디바,블랑디바 글림커버리지 쿠션 리필,15000,15000,0,0,0,"['https://ai.esmplus.com/sand200/CHICOR/SSG/41870.jpg', 'https://cdn.chicor.com/images/editor/20210914201520166.jpg', 'https://cdn.chicor.com/images/editor/20211130102348157.jpg']",베이스메이크업,쿠션
https://cdn.chicor.com/images/product/20210302173250679.jpg?d=600x0,로라메르시에,[NEW] 플로리스 뤼미에르 쿠션,80100,89000,10,24,100,[],베이스메이크업,쿠션
https://cdn.chicor.com/images/product/20220405124732083.jpg?d=600x0,뮤드,허그 쿠션 리필,17000,17000,0,4,90,['https://cdn.chicor.com/images/editor/20220405124446583.jpg'],베이스메이크업,쿠션
https://cdn.chicor.com/images/product/20220217150456497.jpg?d=600x0,파넬,시카마누 세럼쿠션 23호,32000,32000,0,3,100,['https://cdn.chicor.com/images/editor/20220217150129592.jpg'],베이스메이크업,쿠션
https://cdn.chicor.com/images/product/20220420141810416.jpg?d=600x0,에스쁘아,에스쁘아 비벨벳 커버 쿠션,34200,38000,10,1,100,"['https://espoir.speedgabia.com/product/makeup/face/bvcs1.jpg', 'https://espoir.speedgabia.com/product/makeup/face/bvcs2.gif', 'https://espoir.speedgabia.com/product/makeup/face/bvcs3.jpg']",베이스메이크업,쿠션
https://cdn.chicor.com/images/product/20220405124216045.jpg?d=600x0,뮤드,허그 쿠션 본품,29000,29000,0,7,94,"['https://cdn.chicor.com/images/editor/20220405124023845.jpg', 'https://cdn.chicor.com/images/editor/20220405124030970.jpg']",베이스메이크업,쿠션
https://cdn.chicor.com/images/product/20230328182101138.jpg?d=600x0,아임미미,원더 벨벳 래스팅 쿠션,19200,24000,20,100,100,"['https://cdn.chicor.com/images/editor/20230407100042009.jpg', 'https://cdn.chicor.com/images/editor/20230407100048767.jpg', 'https://cdn.chicor.com/images/editor/20230407100056935.gif', 'https://cdn.chicor.com/images/editor/20230407100103279.jpg', 'https://cdn.chicor.com/images/editor/20230407100110356.gif', 'https://cdn.chicor.com/images/editor/20230407100116456.jpg', 'https://cdn.chicor.com/images/editor/20230407100123380.jpg']",베이스메이크업,쿠션
https://cdn.chicor.com/images/product/20231113093045534.jpg?d=600x0,메이크업포에버,★시코르단독★ HD SKIN 쿠션 기획세트,58650,69000,15,5,100,['https://cdn.chicor.com/images/editor/20231013095457256.jpg'],베이스메이크업,쿠션
https://cdn.chicor.com/images/product/20231017164204695.jpg?d=600x0,아멜리,"아멜리 컴플리먼트 시리즈 쿠션 SPF50+, PA+++ 보라",25200,28000,10,10,100,"['https://cdn.chicor.com/images/editor/20230921111207113.jpg', 'https://cdn.chicor.com/images/editor/20230921111213042.jpg', 'https://cdn.chicor.com/images/editor/20230921111218704.jpg', 'https://cdn.chicor.com/images/editor/20230921111226793.jpg', 'https://cdn.chicor.com/images/editor/20230921111327097.jpg']",베이스메이크업,쿠션
https://cdn.chicor.com/images/product/20200615174303373.jpg?d=600x0,메이크업포에버,UV 브라이트 쿠션,56100,66000,15,5,96,['https://cdn.chicor.com/images/editor/20200519102621962.jpg'],베이스메이크업,쿠션
https://cdn.chicor.com/images/product/20230626123449842.jpg?d=600x0,메이크업포에버,[정가대비 특별할인] UV 브라이트 쿠션 듀오세트 (본품15g+리필15g)*2SET,89760,105600,15,6,100,['https://cdn.chicor.com/images/editor/20230623164407779.jpg'],베이스메이크업,쿠션
https://cdn.chicor.com/images/product/20231110105020989.jpg?d=600x0,메이크업포에버,HD SKIN 쿠션,58650,69000,15,7,97,['https://cdn.chicor.com/images/editor/20230927113433072.jpg'],베이스메이크업,쿠션
https://cdn.chicor.com/images/product/20220217150734712.jpg?d=600x0,파넬,글래시얼 바이옴 노세범 쿠션,24000,24000,0,1,60,"['https://cdn.chicor.com/images/editor/20220217150616132.jpg', 'https://cdn.chicor.com/images/editor/20220217150624987.jpg']",베이스메이크업,쿠션
https://cdn.chicor.com/images/product/20200522004648286.jpg?d=600x0,맥,스튜디오 퍼펙트 엠티 컴팩트 뉴 데코,14450,17000,15,2,100,['https://cdn.chicor.com/images/editor/20200525045654559.jpg'],베이스메이크업,쿠션
https://cdn.chicor.com/images/product/20230421095805225.jpg?d=600x0,V&A,V&A 롱 웨어 쿠션 파운데이션 본품 15g,34200,38000,10,21,98,['http://healerb.daouimg.com/product/NEW/래디언트쿠션_mo (1).jpg'],베이스메이크업,쿠션
https://cdn.chicor.com/images/product/20231113092740760.jpg?d=600x0,메이크업포에버,★시코르단독★ HD SKIN 쿠션 기획세트,58650,69000,15,2,90,['https://cdn.chicor.com/images/editor/20230927112958826.jpg'],베이스메이크업,쿠션
https://cdn.chicor.com/images/product/20230517143700378.jpg?d=600x0,나스,[리미티드] 내츄럴 래디언트 롱웨어 쿠션 파운데이션 케이스,22500,25000,10,4,100,['https://cdn.chicor.com/images/editor/20230517133534967.jpg'],베이스메이크업,쿠션
https://cdn.chicor.com/images/product/20210312094533432.jpg?d=600x0,정샘물,스킨 누더 팩트,32400,36000,10,2,100,"['https://cdn.chicor.com/images/editor/20210312094426376.jpg', 'https://cdn.chicor.com/images/editor/20210312094436708.jpg']",베이스메이크업,쿠션
https://cdn.chicor.com/images/product/20200520091423859.jpg?d=600x0,시세이도,NEW 싱크로 스킨 글로우 쿠션 컴팩트 리필 SPF23/PA++,38700,43000,10,2,100,['https://wees.co.kr/shiseido/01_SIS/02_product/NEW_SS_cusion.jpg'],베이스메이크업,쿠션
https://cdn.chicor.com/images/product/20230731095552274.jpg?d=600x0,헉슬리,에센스 커버 쿠션 언씬 레이어 리필,26600,28000,5,5,100,"['https://cdn.chicor.com/images/editor/20230522223018836.jpg', 'https://cdn.chicor.com/images/editor/20230522223041945.jpg']",베이스메이크업,쿠션
https://cdn.chicor.com/images/product/20221116100955518.jpg?d=600x0,달바,글로우 핏 세럼 커버 미니 쿠션 23호 5.5g,21600,24000,10,1,100,"['https://cdn.chicor.com/images/editor/20221116100840389.jpg', 'https://cdn.chicor.com/images/editor/20221116100846788.jpg', 'https://cdn.chicor.com/images/editor/20221116100853953.gif', 'https://cdn.chicor.com/images/editor/20221116100900699.gif', 'https://cdn.chicor.com/images/editor/20221116100907300.jpg', 'https://cdn.chicor.com/images/editor/20221116100913077.jpg']",베이스메이크업,쿠션
